DATE;Heure;temp_int;temp_consigne;puissance;mode
22-11-2016;02:55:01;19.9;20.5;1;2
22-11-2016;03:00:02;19.9;20.5;1;2
22-11-2016;03:05:01;19.9;20.5;1;2
22-11-2016;03:10:01;19.9;20.5;1;2
22-11-2016;03:15:01;19.9;20.5;1;2
22-11-2016;03:20:01;20.0;20.5;1;2
22-11-2016;03:25:01;20.1;20.5;1;2
22-11-2016;03:30:02;20.1;20.5;1;2
22-11-2016;03:35:01;20.1;20.5;1;2
22-11-2016;03:40:01;20.2;20.5;1;2
22-11-2016;03:45:01;20.2;20.5;1;2
22-11-2016;03:50:01;20.2;20.5;1;2
22-11-2016;03:55:01;20.2;20.5;1;2
22-11-2016;04:00:02;20.3;20.5;1;2
22-11-2016;04:05:01;20.3;20.5;1;2
22-11-2016;04:10:01;20.4;20.5;1;2
22-11-2016;04:15:02;20.4;20.5;1;2
22-11-2016;04:20:01;20.5;20.5;1;2
22-11-2016;04:25:01;20.5;20.5;0;3
22-11-2016;04:30:02;20.6;20.5;0;1
22-11-2016;04:35:01;20.6;0.0;0;1
22-11-2016;04:40:01;20.7;20.5;0;1
22-11-2016;04:45:02;20.7;20.5;0;1
22-11-2016;04:50:01;20.7;20.5;0;1
22-11-2016;04:55:01;20.8;20.5;0;1
22-11-2016;05:00:02;20.8;20.5;0;1
22-11-2016;05:05:01;20.8;20.5;0;1
22-11-2016;05:10:02;20.8;20.5;0;1
22-11-2016;05:15:01;20.8;20.5;0;1
22-11-2016;05:20:01;20.8;20.5;0;1
22-11-2016;05:25:01;20.8;20.5;0;1
22-11-2016;05:30:01;20.8;20.5;0;1
22-11-2016;05:35:01;20.8;20.5;0;1
22-11-2016;05:40:01;20.8;20.5;0;1
22-11-2016;05:45:01;20.8;20.5;0;1
22-11-2016;05:50:01;20.8;20.5;0;1
22-11-2016;05:55:01;20.8;20.5;0;1
22-11-2016;06:00:02;20.8;20.5;0;1
22-11-2016;06:05:01;20.7;20.5;0;1
22-11-2016;06:10:01;20.7;20.5;0;1
22-11-2016;06:15:01;20.7;20.5;0;1
22-11-2016;06:20:01;20.7;20.5;0;1
22-11-2016;06:25:01;20.7;20.5;0;1
22-11-2016;06:30:01;20.6;0.0;0;1
22-11-2016;06:35:01;20.6;0.0;0;1
22-11-2016;06:40:01;20.6;0.0;0;1
22-11-2016;06:45:01;20.6;0.0;0;1
22-11-2016;06:50:01;20.5;0.0;0;1
22-11-2016;06:55:01;20.5;0.0;0;1
22-11-2016;07:00:02;20.5;0.0;0;1
22-11-2016;07:05:01;20.5;0.0;0;1
22-11-2016;07:10:01;20.5;0.0;0;1
22-11-2016;07:15:01;20.5;0.0;0;1
22-11-2016;07:20:01;20.4;0.0;0;1
22-11-2016;07:25:01;20.4;0.0;0;1
22-11-2016;07:30:01;20.4;0.0;0;1
22-11-2016;07:35:01;20.4;0.0;0;1
22-11-2016;07:40:01;20.4;0.0;0;1
