DATE;Heure;ana1 * 445.254
10-05-2013;04:11:36;13.358
10-05-2013;05:40:41;0.000
10-05-2013;06:30:48;0.000
10-05-2013;07:04:12;8.905
10-05-2013;08:05:26;57.883
10-05-2013;09:01:08;115.766
10-05-2013;10:02:24;173.649
10-05-2013;11:37:08;182.554
10-05-2013;12:05:00;463.064
10-05-2013;12:55:11;1193.281
10-05-2013;13:23:04;471.969
10-05-2013;14:07:41;463.064
10-05-2013;15:03:27;854.888
10-05-2013;16:04:50;1139.850
10-05-2013;17:00:38;244.890
10-05-2013;18:18:46;106.861
10-05-2013;19:08:59;182.554
10-05-2013;20:04:45;160.291
10-05-2013;21:00:31;0.000
10-05-2013;22:01:50;13.358
10-05-2013;23:03:08;0.000
11-05-2013;00:09:59;0.000
11-05-2013;01:00:07;0.000
11-05-2013;02:01:23;0.000
11-05-2013;03:08:13;0.000
11-05-2013;04:03:53;0.000
11-05-2013;05:21:49;0.000
11-05-2013;06:17:29;0.000
11-05-2013;07:40:59;66.788
11-05-2013;09:15:38;40.073
11-05-2013;10:11:21;173.649
11-05-2013;11:07:05;489.779
11-05-2013;12:19:33;262.700
11-05-2013;13:09:44;618.903
11-05-2013;13:26:29;1295.689
11-05-2013;14:05:32;400.729
11-05-2013;15:12:30;707.954
11-05-2013;16:13:53;543.210
11-05-2013;17:04:06;445.254
11-05-2013;18:16:38;329.488
11-05-2013;19:45:52;40.073
11-05-2013;20:08:11;40.073
11-05-2013;21:09:30;0.000
11-05-2013;22:05:15;0.000
11-05-2013;23:06:34;0.000
11-05-2013;23:45:35;0.000
12-05-2013;00:07:53;0.000
12-05-2013;01:14:45;26.715
12-05-2013;02:04:53;0.000
12-05-2013;03:00:36;0.000
12-05-2013;04:01:52;0.000
12-05-2013;05:19:52;0.000
12-05-2013;06:04:25;0.000
12-05-2013;07:00:07;26.715
12-05-2013;08:23:38;31.168
12-05-2013;09:24:55;178.102
12-05-2013;10:09:29;213.722
12-05-2013;11:10:47;271.605
12-05-2013;12:45:34;601.093
12-05-2013;13:02:17;494.232
12-05-2013;13:13:27;601.093
12-05-2013;14:14:47;289.415
12-05-2013;15:16:06;400.729
12-05-2013;16:00:43;311.678
12-05-2013;17:07:38;227.080
12-05-2013;18:08:58;142.481
12-05-2013;19:04:43;84.598
12-05-2013;20:00:29;22.263
12-05-2013;21:12:57;0.000
12-05-2013;22:03:07;0.000
12-05-2013;23:15:34;0.000
12-05-2013;23:26:42;0.000
13-05-2013;00:00:19;0.000
13-05-2013;01:01:26;0.000
13-05-2013;02:02:43;0.000
13-05-2013;03:09:35;0.000
13-05-2013;04:05:17;0.000
13-05-2013;05:17:43;0.000
13-05-2013;06:02:17;0.000
13-05-2013;07:42:32;22.263
13-05-2013;08:27:06;97.956
13-05-2013;09:11:41;160.291
13-05-2013;10:07:24;850.435
13-05-2013;11:03:11;320.583
13-05-2013;12:04:32;298.320
13-05-2013;13:00:18;369.561
13-05-2013;14:07:15;583.283
13-05-2013;15:19:49;1322.404
13-05-2013;16:54:44;921.676
13-05-2013;17:00:20;654.523
13-05-2013;18:12:58;614.451
13-05-2013;20:04:39;22.263
13-05-2013;21:17:11;0.000
13-05-2013;22:07:20;13.358
13-05-2013;23:03:04;0.000
14-05-2013;00:26:38;22.263
14-05-2013;01:16:45;0.000
14-05-2013;02:01:18;0.000
14-05-2013;04:03:46;44.525
14-05-2013;05:10:34;8.905
14-05-2013;06:11:47;0.000
14-05-2013;07:07:26;8.905
14-05-2013;08:03:06;53.430
14-05-2013;09:04:23;267.152
14-05-2013;10:00:08;378.466
14-05-2013;11:01:31;209.269
14-05-2013;12:42:02;1108.682
14-05-2013;13:04:23;1050.799
14-05-2013;13:49:07;1126.493
14-05-2013;14:17:04;1104.230
14-05-2013;15:40:58;899.413
14-05-2013;16:20:08;814.815
14-05-2013;17:04:52;298.320
14-05-2013;18:23:09;66.788
14-05-2013;19:02:15;89.051
14-05-2013;20:03:42;13.358
14-05-2013;21:10:42;0.000
14-05-2013;22:06:30;0.000
14-05-2013;23:02:18;0.000
14-05-2013;23:30:12;0.000
15-05-2013;00:03:39;8.905
15-05-2013;01:10:31;13.358
15-05-2013;02:06:15;0.000
15-05-2013;03:01:58;0.000
15-05-2013;04:03:15;0.000
15-05-2013;05:15:40;0.000
15-05-2013;06:11:21;0.000
15-05-2013;07:07:03;0.000
15-05-2013;08:02:45;8.905
15-05-2013;09:04:01;40.073
15-05-2013;10:16:25;17.810
15-05-2013;11:28:48;106.861
15-05-2013;12:35:37;302.773
15-05-2013;13:14:38;400.729
15-05-2013;13:20:12;449.707
15-05-2013;14:10:20;80.146
15-05-2013;15:00:28;164.744
15-05-2013;16:07:18;129.124
15-05-2013;17:03:01;178.102
