DATE;heure;consoHP;consoHC
22-04-2012;00:00:01;1.31;0.68
23-04-2012;00:00:01;1.65;0.99
24-04-2012;00:00:01;0.95;1.07
25-04-2012;00:00:01;1.06;1.08
26-04-2012;00:00:01;1.71;0.88
27-04-2012;00:00:01;0.91;1.2
28-04-2012;00:00:01;1.65;0.89
29-04-2012;00:00:01;1.76;1.03
30-04-2012;00:00:01;1.64;1.97
01-05-2012;00:00:01;1.4;1.61
02-05-2012;00:00:01;1.14;0.96
03-05-2012;00:00:01;0.87;0.89
04-05-2012;00:00:01;0.88;0.64
05-05-2012;00:00:01;1.61;0.89
06-05-2012;00:00:01;1.67;0.93
07-05-2012;00:00:01;1.37;1
08-05-2012;00:00:01;1.05;0.67
09-05-2012;00:00:01;0.85;0.82
10-05-2012;00:00:01;0.91;0.69
11-05-2012;00:00:01;0.75;0.82
12-05-2012;00:00:01;0.63;0.62
13-05-2012;00:00:01;1.27;0.93
14-05-2012;00:00:01;0.8;0.87
15-05-2012;00:00:01;1.36;0.91
16-05-2012;00:00:01;0.85;0.68
17-05-2012;00:00:01;0.99;0.72
18-05-2012;00:00:01;0.99;0.99
19-05-2012;00:00:01;0.77;1.03
20-05-2012;00:00:01;1.02;0.67
21-05-2012;00:00:01;1.03;0.77
22-05-2012;00:00:01;1.09;0.85
23-05-2012;00:00:01;0.99;0.91
24-05-2012;00:00:01;1.14;0.78
25-05-2012;00:00:01;0.69;0.76
26-05-2012;00:00:01;1.79;0.81
27-05-2012;00:00:01;1.32;0.98
28-05-2012;00:00:01;0.94;1.04
29-05-2012;00:00:01;0.67;0.81
30-05-2012;00:00:01;0.78;0.74
31-05-2012;00:00:01;1.13;0.73
01-06-2012;00:00:01;0.63;0.59
02-06-2012;00:00:01;0.83;0.74
03-06-2012;00:00:01;1.19;0.63
04-06-2012;00:00:01;0.72;0.66
05-06-2012;00:00:01;0.7;0.8
06-06-2012;00:00:01;0.68;0.65
07-06-2012;00:00:01;0.8;0.63
08-06-2012;00:00:01;0.67;0.74
